[NLOS] Signal: -85.90 dBm | First Path: -102.17 dBm | Diff: 16.28 dB
[NLOS] Signal: -85.95 dBm | First Path: -102.19 dBm | Diff: 16.24 dB
[NLOS] Signal: -85.69 dBm | First Path: -101.05 dBm | Diff: 15.36 dB
[NLOS] Signal: -86.04 dBm | First Path: -101.75 dBm | Diff: 15.71 dB
[NLOS] Signal: -85.69 dBm | First Path: -102.78 dBm | Diff: 17.09 dB
[NLOS] Signal: -85.77 dBm | First Path: -103.06 dBm | Diff: 17.29 dB
[NLOS] Signal: -86.12 dBm | First Path: -103.02 dBm | Diff: 16.90 dB
[NLOS] Signal: -86.19 dBm | First Path: -101.74 dBm | Diff: 15.55 dB
[NLOS] Signal: -85.65 dBm | First Path: -102.51 dBm | Diff: 16.86 dB
[NLOS] Signal: -85.93 dBm | First Path: -101.35 dBm | Diff: 15.42 dB
[NLOS] Signal: -85.57 dBm | First Path: -102.62 dBm | Diff: 17.06 dB
[NLOS] Signal: -85.73 dBm | First Path: -102.54 dBm | Diff: 16.81 dB
[NLOS] Signal: -85.73 dBm | First Path: -102.45 dBm | Diff: 16.71 dB
[NLOS] Signal: -85.51 dBm | First Path: -100.66 dBm | Diff: 15.15 dB
